file,external_id,category,source,label,location,province,precision,match,old_lat,old_lon,new_lat,new_lon,changed
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-BRESCIA,vectors,VECTORNET_CURATED,Culicoides spp.,Brescia,Brescia,comunale,municipality_region,45.5416,10.2118,45.779580,10.425873,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-GENOVA,vectors,VECTORNET_CURATED,Culicoides spp.,Genova,Genova,comunale,municipality_region,44.4048,8.9444,44.407260,8.933862,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-VERONA,vectors,VECTORNET_CURATED,Culicoides spp.,Verona,Verona,comunale,municipality_region,45.4384,10.9916,45.438496,10.992412,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-PADOVA,vectors,VECTORNET_CURATED,Culicoides spp.,Padova,Padova,comunale,municipality_region,45.4064,11.8768,45.407717,11.873446,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-BOLOGNA,vectors,VECTORNET_CURATED,Culicoides spp.,Bologna,Bologna,comunale,municipality_region,44.4949,11.3426,44.493758,11.343031,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-PARMA,vectors,VECTORNET_CURATED,Culicoides spp.,Parma,Parma,comunale,municipality_region,44.8015,10.3279,44.801368,10.328083,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-FIRENZE,vectors,VECTORNET_CURATED,Culicoides spp.,Firenze,Firenze,comunale,municipality_region,43.7696,11.2558,43.769871,11.255576,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-GROSSETO,vectors,VECTORNET_CURATED,Culicoides spp.,Grosseto,Grosseto,comunale,municipality_region,42.7635,11.1124,42.775110,11.287804,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-ROMA,vectors,VECTORNET_CURATED,Culicoides spp.,Roma,Roma,comunale,municipality_region,41.9028,12.4964,41.893320,12.482932,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-NAPOLI,vectors,VECTORNET_CURATED,Culicoides spp.,Napoli,Napoli,comunale,municipality_region,40.8518,14.2681,40.835934,14.248783,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-CASERTA,vectors,VECTORNET_CURATED,Culicoides spp.,Caserta,Caserta,comunale,municipality_region,41.0747,14.3324,41.203483,14.117058,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-BARI,vectors,VECTORNET_CURATED,Culicoides spp.,Bari,Bari,comunale,municipality_region,41.1171,16.8719,41.125784,16.862029,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-PALERMO,vectors,VECTORNET_CURATED,Culicoides spp.,Palermo,Palermo,comunale,municipality_region,38.1157,13.3615,38.111227,13.352443,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-CAGLIARI,vectors,VECTORNET_CURATED,Culicoides spp.,Cagliari,Cagliari,comunale,municipality_region,39.2238,9.1217,39.216953,9.112851,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-85153-OVINO,parasites,IZS_BENV,Echinococcus spp.,SIRIS,Oristano,provinciale,municipality_region,39.90380,8.59260,39.712644,8.774832,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-84209-OVINO,parasites,IZS_BENV,Echinococcus spp.,USELLUS,Oristano,provinciale,municipality_region,39.90380,8.59260,39.809646,8.850732,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-84659-BOVINO,parasites,IZS_BENV,Echinococcus spp.,BRACCIANO,Roma,provinciale,municipality_region,41.90280,12.49640,42.101095,12.173857,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-84677-OVINO,parasites,IZS_BENV,Echinococcus spp.,SENEGHE,Oristano,provinciale,municipality_region,39.90380,8.59260,40.082249,8.615723,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-84073-OVINO,parasites,IZS_BENV,Echinococcus spp.,SANTA GIUSTA,Oristano,provinciale,municipality_region,39.90380,8.59260,39.878178,8.609973,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-83886-OVINO,parasites,IZS_BENV,Echinococcus spp.,SAGAMA,Oristano,provinciale,municipality_region,39.90380,8.59260,40.261552,8.577520,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-83983-OVINO,parasites,IZS_BENV,Echinococcus spp.,ALLAI,Oristano,provinciale,municipality_region,39.90380,8.59260,39.957173,8.863076,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-82809-BOVINO,parasites,IZS_BENV,Echinococcus spp.,BRACCIANO,Roma,provinciale,municipality_region,41.90280,12.49640,42.101095,12.173857,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-84189-OVINO,parasites,IZS_BENV,Echinococcus spp.,SAN VERO MILIS,Oristano,provinciale,municipality_region,39.90380,8.59260,40.014548,8.598224,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-84208-OVINO,parasites,IZS_BENV,Echinococcus spp.,ALES,Oristano,provinciale,municipality_region,39.90380,8.59260,39.768245,8.815632,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-84077-OVINO,parasites,IZS_BENV,Echinococcus spp.,ORISTANO,Oristano,provinciale,municipality_region,39.90380,8.59260,40.026568,8.679642,true
territorial_layers.csv,BENV-PARASITE-BENV-2026-IDATIDOSI-ECHINOCOCCOSI-83858-OVINO,parasites,IZS_BENV,Echinococcus spp.,SENEGHE,Oristano,provinciale,municipality_region,39.90380,8.59260,40.082249,8.615723,true
