source_file,benv_id,raw_comune,raw_provincia,raw_regione,matched_level,matched_label,lat,lon,note
peste_suina_africana_2026_italia.xlsx,84278,PIANA CRIXIA,SV,LIGURIA,province,PIANA CRIXIA,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84609,ZOAGLI,GE,LIGURIA,province,ZOAGLI,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84680,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84704,ZOAGLI,GE,LIGURIA,province,ZOAGLI,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85152,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85519,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85522,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84521,PIANA CRIXIA,SV,LIGURIA,province,PIANA CRIXIA,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83383,SERRA RICCO\',GE,LIGURIA,province,SERRA RICCO\',44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83403,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83410,SAN COLOMBANO CERTENOLI,GE,LIGURIA,province,SAN COLOMBANO CERTENOLI,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83102,SASSELLO,SV,LIGURIA,province,SASSELLO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84040,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84109,DEIVA MARINA,SP,LIGURIA,province,DEIVA MARINA,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84112,DEGO,SV,LIGURIA,province,DEGO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84126,SANTA MARGHERITA LIGURE,GE,LIGURIA,province,SANTA MARGHERITA LIGURE,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85017,FELINO,PR,EMILIA ROMAGNA,province,FELINO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85135,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84896,PIANA CRIXIA,SV,LIGURIA,province,PIANA CRIXIA,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84924,PALANZANO,PR,EMILIA ROMAGNA,province,PALANZANO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85368,FELINO,PR,EMILIA ROMAGNA,province,FELINO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85398,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82868,SESTA GODANO,SP,LIGURIA,province,SESTA GODANO,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84548,PALANZANO,PR,EMILIA ROMAGNA,province,PALANZANO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84614,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84634,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83064,SASSELLO,SV,LIGURIA,province,SASSELLO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84111,DEIVA MARINA,SP,LIGURIA,province,DEIVA MARINA,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85021,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85046,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
